business_name,author_name,review_text,photo,rating,rating_category,cleaned_text,lang,lemmatized_text,review_length,contains_url,advertisement,no_visit_rant,irrelevant
Haci'nin Yeri - Yigit Lokantasi,Gulsum Akar,We went to Marmaris with my wife for a holiday. We chose this restaurant as a place for dinner based on the reviews and because we wanted juicy food. When we first went there was a serious queue. You proceed by taking the food you want in the form of an open buffet. Both vegetable dishes and meat dishes were plentiful. There was also dessert for those who wanted it. After you get what you want you pay at the cashier. They don't go through cards they work in cash. There was a lot of food variety. And the food prices were unbelievably cheap. We paid only 84 TL for all the meals here. It included buttermilk and bread. But unfortunately I can't say it's too clean as a place..,dataset/taste/hacinin_yeri_gulsum_akar.png,5.0,taste,we went to marmaris with my wife for a holiday we chose this restaurant as a place for dinner based on the reviews and because we wanted juicy food when we first went there was a serious queue you proceed by taking the food you want in the form of an open buffet both vegetable dishes and meat dishes were plentiful there was also dessert for those who wanted it after you get what you want you pay at the cashier they don t go through cards they work in cash there was a lot of food variety and the food prices were unbelievably cheap we paid only 84 tl for all the meals here it included buttermilk and bread but unfortunately i can t say it s too clean as a place,en,go marmaris wife holiday choose restaurant place dinner base review want juicy food go queue proceed take food want form open buffet vegetable dish meat dish plentiful dessert want want pay cashier don t card work cash lot food variety food price unbelievably cheap pay tl meal include buttermilk bread unfortunately t s clean place,133.0,False,False,False,False
Haci'nin Yeri - Yigit Lokantasi,Oguzhan Cetin,During my holiday in Marmaris we ate here to fit the food. It's really good that the food is cheap and nice. Eating as much bread as you want is a big plus for those who are not satisfied without bread. It is a place that I can recommend to those who will go to Marmaris. On July 1 there was a small increase but even the price hike is cheap. I leave the photo of the latest prices and breakfast below. there was a serious queue. You proceed by taking the food you want in the form of an open buffet. Both vegetable dishes and meat dishes were plentiful. There was also dessert for those who wanted it. After you get what you want you pay at the cashier. They don't go through cards they work in cash. There was a lot of food variety. And the food prices were unbelievably cheap. We paid only 84 TL for all the meals here. It included buttermilk and bread. But unfortunately I can't say it's too clean as a place..,dataset/menu/hacinin_yeri_oguzhan_cetin.png,4.0,menu,during my holiday in marmaris we ate here to fit the food it s really good that the food is cheap and nice eating as much bread as you want is a big plus for those who are not satisfied without bread it is a place that i can recommend to those who will go to marmaris on july 1 there was a small increase but even the price hike is cheap i leave the photo of the latest prices and breakfast below there was a serious queue you proceed by taking the food you want in the form of an open buffet both vegetable dishes and meat dishes were plentiful there was also dessert for those who wanted it after you get what you want you pay at the cashier they don t go through cards they work in cash there was a lot of food variety and the food prices were unbelievably cheap we paid only 84 tl for all the meals here it included buttermilk and bread but unfortunately i can t say it s too clean as a place,en,holiday marmaris eat fit food s good food cheap nice eat bread want big plus satisfied bread place recommend marmaris july small increase price hike cheap leave photo late price breakfast queue proceed take food want form open buffet vegetable dish meat dish plentiful dessert want want pay cashier don t card work cash lot food variety food price unbelievably cheap pay tl meal include buttermilk bread unfortunately t s clean place,183.0,False,False,False,False
Haci'nin Yeri - Yigit Lokantasi,Yasin Kuyu,Prices are very affordable. The menu in the photo cost 108 liras. You have to wait 10-15 minutes for food. Staff is annoying. Well it tastes good. Boiled meat was delicious.,dataset/outdoor_atmosphere/hacinin_yeri_yasin_kuyu.png,3.0,outdoor_atmosphere,prices are very affordable the menu in the photo cost 108 liras you have to wait 10 15 minutes for food staff is annoying well it tastes good boiled meat was delicious,en,price affordable menu photo cost lira wait minute food staff annoying taste good boil meat delicious,32.0,False,False,False,False
Haci'nin Yeri - Yigit Lokantasi,Orhan Kapu,Turkey's cheapest artisan restaurant and its food is delicious!,dataset/indoor_atmosphere/hacinin_yeri_orhan_kapu.png,5.0,indoor_atmosphere,turkey s cheapest artisan restaurant and its food is delicious,en,turkey s cheap artisan restaurant food delicious,10.0,False,False,False,False
Haci'nin Yeri - Yigit Lokantasi,Ozgur Sati,I don't know what you will look for in terms of price performance point; taste; but yigit restaurant writes a big plus for those who come to work in this region.,dataset/menu/hacinin_yeri_ozgur_sati.png,3.0,menu,i don t know what you will look for in terms of price performance point taste but yigit restaurant writes a big plus for those who come to work in this region,en,don t know look term price performance point taste yigit restaurant write big plus come work region,32.0,False,False,False,False
Haci'nin Yeri - Yigit Lokantasi,İrem Eren,What you see is 125 TL in total. It's a pretty convenient place. We can say that it is an artisan restaurant; you should not expect a restaurant; but they are still quite good in terms of price and performance. As of July 1; prices will increase,dataset/taste/hacinin_yeri_irem_eren.png,5.0,taste,what you see is 125 tl in total it s a pretty convenient place we can say that it is an artisan restaurant you should not expect a restaurant but they are still quite good in terms of price and performance as of july 1 prices will increase,en,tl total s pretty convenient place artisan restaurant expect restaurant good term price performance july price increase,48.0,False,False,False,False
Haci'nin Yeri - Yigit Lokantasi,Nadia Salim,Delicious food at rock bottom prices. Friendly staff; Highly recommend,dataset/taste/hacinin_yeri_nadia_salim.png,5.0,taste,delicious food at rock bottom prices friendly staff highly recommend,en,delicious food rock price friendly staff highly recommend,10.0,False,False,False,False
Haci'nin Yeri - Yigit Lokantasi,Mehmet Eser,"Every time I go, I still experience the amazement I experienced years ago as if it were the first time. There is no need to explain. Folk hero is a business.",dataset/outdoor_atmosphere/hacinin_yeri_mehmet_eser.png,5.0,outdoor_atmosphere,every time i go i still experience the amazement i experienced years ago as if it were the first time there is no need to explain folk hero is a business,en,time experience amazement experience year ago time need explain folk hero business,31.0,False,False,False,False
Haci'nin Yeri - Yigit Lokantasi,Celal Ozer,The most f/p of all businesses I've seen.,dataset/indoor_atmosphere/hacinin_yeri_celal_ozer.png,5.0,indoor_atmosphere,the most f p of all businesses i ve seen,en,f p business ve see,10.0,False,False,False,False
Haci'nin Yeri - Yigit Lokantasi,Onur Celebi,The food was just like the ones my mother made. Prices were reasonable.,dataset/taste/hacinin_yeri_onur_celebi.png,5.0,taste,the food was just like the ones my mother made prices were reasonable,en,food like one mother price reasonable,13.0,False,False,False,False
